题库,试题,参考答案
销售-常见场景录音实战,"拷贝不走样-1 听懂故事写要点：请写出本录音中，销售与客户沟通涉及到哪些场景要点？

练习目的：能听懂整个对话，并领悟双方的点，写下来后方便自己录音练习时按场景要点逐步展开
要点范围：1）客户关心到的问题点，2）我们试图引导客户的点
评分标准：按准确的要点数量做评分依据，要点尽量齐全，不遗漏，尤其注意：1）专业性：话术要点遗漏或优势体现的缺失，2）逻辑性：清晰流畅，3）声音：亲和、不卑不亢","要点总结
1、了解客户复工情况,介绍我们公司ERP优势
2、了解客户公司业务情况
3、了解客户长时间未合作原因
4、通过之前翻译内容,了解客户目前项目情况
5、了解客户下半年新项目情况
6、案例引导了解客户其他方面的翻译需求
7、了解多媒体译制需求市场部负责人
8、感谢客户推荐,邮件并请客户引荐
9、通过之前合作的印刷,了解客户现在是如何解决的
10、了解其他部门需求情况
11、通过之前合作记录,侧面了解负责的总务部联系人情况
12、案例引导,了解笔记本需求
13、了解决策流程是否需要经过采购
14、再次感谢客户帮忙推荐"
销售-常见场景录音实战,"拷贝不走样-1 听懂故事写要点：请写出本录音中，销售与客户沟通涉及到哪些场景要点？

练习目的：能听懂整个对话，并领悟双方的点，写下来后方便自己录音练习时按场景要点逐步展开
要点范围：1）客户关心到的问题点，2）我们试图引导客户的点
评分标准：按准确的要点数量做评分依据，要点尽量齐全，不遗漏，尤其注意：1）专业性：话术要点遗漏或优势体现的缺失，2）逻辑性：清晰流畅，3）声音：亲和、不卑不亢","要点总结

1.来意
2.询问客户相同是否有标记
3.了解项目交稿时间,预算
4.双外语翻译优势,成功案例
5.方案1英译中再中译俄,可以便宜一些且多中文版
6.方案2请客户整段相同的标记出来,并穿插案例
7.不是整段相同标记意义不大,译员还是全文翻译
8.双外语比单语种贵的原因
9.日企汽车说明书案例
10.双外语比单语种贵的原因
11.我们报排版费,客户对标记相同,双方是否可以达成一致"
销售-常见场景录音实战,"拷贝不走样-1 听懂故事写要点：请写出本录音中，销售与客户沟通涉及到哪些场景要点？

练习目的：能听懂整个对话，并领悟双方的点，写下来后方便自己录音练习时按场景要点逐步展开
要点范围：1）客户关心到的问题点，2）我们试图引导客户的点
评分标准：按准确的要点数量做评分依据，要点尽量齐全，不遗漏，尤其注意：1）专业性：话术要点遗漏或优势体现的缺失，2）逻辑性：清晰流畅，3）声音：亲和、不卑不亢","要点总结
1.来意
2.拉近客户关系
3.对价格定性实价不贵,做口碑长期合作
4.ERP系统介绍
5.ERP系统与人工相比如何解决相同比对问题
6.双外语优势,优秀译员已提前准备
7.盯客户确认,可以开始工作,有问题再沟通"
销售-常见场景录音实战,"拷贝不走样-1 听懂故事写要点：请写出本录音中，销售与客户沟通涉及到哪些场景要点？

练习目的：能听懂整个对话，并领悟双方的点，写下来后方便自己录音练习时按场景要点逐步展开
要点范围：1）客户关心到的问题点，2）我们试图引导客户的点
评分标准：按准确的要点数量做评分依据，要点尽量齐全，不遗漏，尤其注意：1）专业性：话术要点遗漏或优势体现的缺失，2）逻辑性：清晰流畅，3）声音：亲和、不卑不亢","要点总结

1.来意
2.以团队经理身份，更能引起客户的重视
3.夸客户
4.讲述我们合作时间长，重视合作
5.了解项目进展
6.介绍我们的优势
7.关于日企和德企的成功案例（雅马哈、庞巴迪、阿尔斯通）
8.其他供应商的情况
9.邀约面访
10.表达我们的诚意，希望能多有合作机会"
销售-常见场景录音实战,"拷贝不走样-1 听懂故事写要点：请写出本录音中，销售与客户沟通涉及到哪些场景要点？

练习目的：能听懂整个对话，并领悟双方的点，写下来后方便自己录音练习时按场景要点逐步展开
要点范围：1）客户关心到的问题点，2）我们试图引导客户的点
评分标准：按准确的要点数量做评分依据，要点尽量齐全，不遗漏，尤其注意：1）专业性：话术要点遗漏或优势体现的缺失，2）逻辑性：清晰流畅，3）声音：亲和、不卑不亢","要点总结

1.来意
2.夸我们公司发展很不错
3.夸客户跳槽发展越来越好
4.介绍公司ERP
5.疫情期10几家公司签了长期协议
6.MarCom的案例（法巴），广州、深圳、香港合作都没问题
7.用案例推翻译，视频，印刷，展会搭建
8.了解需求频率
9.问MarCom联系人
10.问对方的推广手段（介绍我们的会议，展会）
11.介绍video 视频推广优势
12.加微信"
销售-常见场景录音实战,"拷贝不走样-1 听懂故事写要点：请写出本录音中，销售与客户沟通涉及到哪些场景要点？

练习目的：能听懂整个对话，并领悟双方的点，写下来后方便自己录音练习时按场景要点逐步展开
要点范围：1）客户关心到的问题点，2）我们试图引导客户的点
评分标准：按准确的要点数量做评分依据，要点尽量齐全，不遗漏，尤其注意：1）专业性：话术要点遗漏或优势体现的缺失，2）逻辑性：清晰流畅，3）声音：亲和、不卑不亢","要点总结
1.来意
2.新工作
3.合作过吗
4.我们的化工客户案例
5.MarCom的2个案例（巴斯夫，宝洁）
6.用案例推翻译，视频，印刷
7.时间
8.问对方的推广手段（介绍我们的会议，展会）
9.我们都做
10.提出发邮件整体业务介绍
11.介绍翻译+软件
12.要邮箱
13.加微信
14.要求转介绍
15.希望有机会再联系"
销售-常见场景录音实战,"拷贝不走样-1 听懂故事写要点：请写出本录音中，销售与客户沟通涉及到哪些场景要点？

练习目的：能听懂整个对话，并领悟双方的点，写下来后方便自己录音练习时按场景要点逐步展开
要点范围：
1）客户关心到的问题点
2）我们试图引导客户的点

评分标准：按准确的要点数量做评分依据，要点尽量齐全，不遗漏，尤其注意：
1）专业性：话术要点遗漏或优势体现的缺失
2）逻辑性：清晰流畅
3）声音：亲和、不卑不亢","1)了解哪份稿件哪方面不满意
2)词汇提升
3)语句提升
4)固定译员
5)我们与其他公司的对比
6)了解目前供应商的情况
7)尝试小订单新订单的合作
8)添加微信发送邮件"
销售-常见场景录音实战,"拷贝不走样-1 听懂故事写要点：请写出本录音中，销售与客户沟通涉及到哪些场景要点？

练习目的：能听懂整个对话，并领悟双方的点，写下来后方便自己录音练习时按场景要点逐步展开
要点范围：
1）客户关心到的问题点
2）我们试图引导客户的点

评分标准：按准确的要点数量做评分依据，要点尽量齐全，不遗漏，尤其注意：
1）专业性：话术要点遗漏或优势体现的缺失
2）逻辑性：清晰流畅
3）声音：亲和、不卑不亢","1)合作历史，肯定我们在供应商系统，供应商号
2)了解现在负责的采购
3)了解现在联系人需求情况
4)案例引导其他业务推广
5)发邮件要微信，推荐"
销售-常见场景录音实战,"拷贝不走样-1 听懂故事写要点：请写出本录音中，销售与客户沟通涉及到哪些场景要点？

练习目的：能听懂整个对话，并领悟双方的点，写下来后方便自己录音练习时按场景要点逐步展开
要点范围：
1）客户关心到的问题点
2）我们试图引导客户的点

评分标准：按准确的要点数量做评分依据，要点尽量齐全，不遗漏，尤其注意：
1）专业性：话术要点遗漏或优势体现的缺失
2）逻辑性：清晰流畅
3）声音：亲和、不卑不亢","1)捧客户资深，合作多年拉感情
2)询问哪位同事负责
3)确认系统中联系人情况
4)询问各部门需求
5)成功案例引出多个业务推荐
6)发邮件，添加微信，要推荐"
销售-常见场景录音实战,"拷贝不走样-1 听懂故事写要点：请写出本录音中，销售与客户沟通涉及到哪些场景要点？

练习目的：能听懂整个对话，并领悟双方的点，写下来后方便自己录音练习时按场景要点逐步展开
要点范围：
1）客户关心到的问题点
2）我们试图引导客户的点

评分标准：按准确的要点数量做评分依据，要点尽量齐全，不遗漏，尤其注意：
1）专业性：话术要点遗漏或优势体现的缺失
2）逻辑性：清晰流畅
3）声音：亲和、不卑不亢","1)寒暄
2)了解需求减少原因
3)成功案例引导业务需求
4)说服客户添加微信的好处
5)了解其他部门需求"
销售-常见场景录音实战,"拷贝不走样-1 听懂故事写要点：请写出本录音中，销售与客户沟通涉及到哪些场景要点？

练习目的：能听懂整个对话，并领悟双方的点，写下来后方便自己录音练习时按场景要点逐步展开
要点范围：
1）客户关心到的问题点
2）我们试图引导客户的点

评分标准：按准确的要点数量做评分依据，要点尽量齐全，不遗漏，尤其注意：
1）专业性：话术要点遗漏或优势体现的缺失
2）逻辑性：清晰流畅
3）声音：亲和、不卑不亢","1）目前如何解决
2）哪方面稿件
3）新闻稿难点
4）格式处理
5）其他部门需求
6）其他业务推广
7）案例优势"
销售-常见场景录音实战,常见场景5：你们之前翻译质量不好，每次都要修改，现在我们已换其他供应商了,"一、要点
1)了解哪份稿件哪方面不满意
2)词汇提升
3)语句提升
4)固定译员
5)我们与其他公司的对比
6)了解目前供应商的情况
7)尝试小订单新订单的合作
8)添加微信发送邮件

二、话术
您好，陈工，我是事必达翻译的David，之前我们同事艾米和您对接的。因为他这边离职了，现在是我负责，我看了下系统，我们有段时间没有合作了，想问下大概是什么原因呀？

哦，是我们之前的质量不是很好，可能每次都要修改对吧？那我想问一下，我看我们系统显示最后一次合作时间是20年的12月份，翻译的是关于2150的技术手册报告对吗？

想问下这篇内容翻译问题是关于语句不通顺呢？还是专业词汇的问题呢？可能两方面都有是吧？陈工我今天给你来电话，肯定是想希望继续合作的，想了解下客户真实的反馈，另外也想和您解释下刚才您提到的这两点问题。

不知道我们之前同事可能因为经验或者是其他方面的原因没有跟您说清楚，因为我们是有自己的一个ERP系统的，是针对翻译这块的。首先我们会固定一些词汇，比如说每次交稿的时候，我们会要求翻译罗列出一些专业词汇，如果有必要的话，我可以把这些词汇给到您，麻烦您进行最终的是确认。
至于语句方面，你也请放心，现在我们也开始了一个自动校稿率QC检查的功能，如果说计算机识别到下一轮对上一轮的反馈，如果说修改率偏低，我们会要求退回的，需要让前一道翻译看一下是否有这个问题，因为毕竟自己检查自己的问题会相对不容易，但如果是换一个人QC检查上一轮的问题可能相对更容易看出来这些语句，哪些需要润色的，我们做了一个自动修改率退回的工作，再加上如果专业词汇有固定的的话，比如说你们公司probe这次一直翻译成探针而不是探头，那我们会在旁边设定必须一致，无论说拿到这个稿件的是哪位翻译，那他都会提示此客户有这个词是必须照这个说法的，那我们都会固定翻译，首先我们会尽量保证客户，如果说之前这个客户一直是他做的这个翻译，那会继续提供服务，但有时候量也比较多，也不可能永远都是这个翻译，再加上人员调动的情况等等，那我们会固定翻译下来这些专业的词汇，只要把它把握好的话，那无论是任何翻译翻的时候都会提示，这样会保证专业词汇的准确，加上语句，我们有自检的流程，语句做好润色，那我想一个手册专业词汇保证了，语句也通顺流畅，那肯定是没有什么问题的。而且我们每次出稿都会要求我们销售对客户上一轮稿件进行质量回访。如果你觉得这个翻译不错的话，那我们会有个满意度评价的按钮，在此翻译未饱和的情况下，下次我们会第一选择安排这个翻译去做；如果说此翻译您觉得不满意，那下次我们首先也是第一选择不安排这个翻译的。

所以现在这方面的我们都做的比较完善了，而且我们在与其他翻译公司相比，他们可能是买的一些翻译系统软件的Trados，而我们是自主研发的，每天几乎有3-4次的更新，我们it会不停的在这方面做一些更新，修补一些bug，能使我们的翻译更加完善。其实有些翻译想固定或者是统一的话，计算机的运算肯定是要比人脑更能记得住，您也是做技术这方面的，相信你也可以明白。

你们现在与这家供应商合作情况是大概是怎样的呢？你们是一点都不用修改，非常满意吗？我想多多少少应该也会有一点吧，需要一个磨合，进入我们做翻译这行都知道，因为翻译可能确实需要一个磨合的过程，当然翻译公司首先要做好自己做的事情，再加上和客户这边经常打交道，磨合、定期沟通，也能知道翻译的问题在哪里，也便于我们改善，其实我们每次交出去的稿件，也是希望得到客户的反馈。可能有时候市场部的稿件找我们时，不是您直接对接我们的，如果下次有这样的反馈的话，您可以发给我，我稍后加下微信，也给您发一个电子邮件，我们保持一下联系。

您这边近期是否有这类稿件或者从小的开始，是否能给我们个机会？

那我相信我们以前一直帮你们合作，也是做的比较好的，只是换人了之后可能有所欠缺。能否再给我们一次尝试的机会好吗？或者你看我什么时候联系您比较方便？下次你们翻译大概何时会有呢？下个月初可能会有，是吧？那好的，邮件我也刚才给您发过去了，您可以记下，下月初的时候，我在问下您，希望我们这么多年来和贵公司建立的合作不要浪费掉了。我们也希望能继续有机会给您提供服务。

好的，那我们再保持联系，我微信也发出邀请了，你帮忙也通过一下吧，上面会有我们的成功案例，你可以看看我们现在这个技术到底是怎样做到的。

好，谢谢您,那今天就不多打扰了，再见。"
销售-常见场景录音实战,常见场景4：我们只能使用系统里的供应商，你们在我们系统里吗,"一、要点
1)合作历史，肯定我们在供应商系统，供应商号
2)了解现在负责的采购
3)了解现在联系人需求情况
4)案例引导其他业务推广
5)发邮件要微信，推荐

二、话术
你好，张经理，我是事必达翻译公司的David.

我刚听我们同事说好像目前你们只能使用你们系统里面的供应商是吧? 嗯是这样的，我们是大概一、两年前和你们这边有合作的，只是我们这边其他的销售离职了就断掉了，我们公司是上海嘉赛信息科技发展有限公司，我们之前是有出过订单号的，我把供应商号提供给你，能帮我看一下是否还可以使用吗？我们肯定是在你们供应商系统里面的，只是我不知道现在是这样的流程。好的，您这边帮忙查一下。

另外我看到我们之前对接的采购JANE Wang ，他现在还负责我们这一块吗？好的，那还负责了的话，基本上问题都不大。那好的，这一块您放心，肯定没有什么问题的，而且我估计有段时间如果没有合作了，重新激活一下就可以了。

其实我今天给您来电主要是想沟通一下，你们现在大概需求的情况是怎么样的？比如一个月会有几次涉及到翻译呢？因为以往的话，你们每个星期都会有新闻稿，包括每个季度会有个季度报告进行翻译的。哦，现在还是这样的是吧？那真是太可惜了，可能我们这边断了之后，联系的比较少，实在是不好意思，所以说今天也有机会赶紧跟您联络一下，希望重新建立合作，包括因为之前您在我们这边已经合作蛮久了吗？我们帮你们在系统里面都累积了不少词库和句库。

因为合作这么多年的断了也是蛮可惜的，那你们现在除了翻译这一块，是否还会涉及印刷呢？之前也和你们有介绍过，我们除了是一家专业的翻译公司外，因为我们和合作外企已经20几年了嘛，他们会提出这样的需求，翻译完之后进行排版印刷一体化服务，这一块也是我们的主营业务之一，也是比较擅长的。

我不知道你们这块有吗？这里也有的是吧？那你们下次印刷大概会是什么时候呢？是用于哪个展会呢？哦，对CHINAPLAS是停掉了，那没关系，我可以给您发一个介绍，上面有我们公司翻译，印刷一体化的详细介绍，你也可以做个备份，如果下次有印刷的需求的话，也可以找我们做一个询价，你看是否可以？张经理，邮件我稍后给你发出，我是否可以同步加您这个手机号的微信，我是个对公的企业微信是，完全不会打扰到您，我们会定期发布一些我们和你们同行或者是其他公司合作的成功案例。你也可以看看同行或其他公司市场宣传活动在做什么，包括我们多媒体一直是很擅长的，像我的一家3M公司他们各个事业部经常会发布一些短视频在那个公众号上，因为现在大家做这块营销做的比较多。这也是目前的一个主要趋势，你可以看看我们的视频做的怎么样？我们可以从听写、翻译，配字幕包括有些特定的培训场景，还会做些配音，客户反馈都很不错，您可以看一看。

我觉得您可以打消这个疑虑，如果即使我们不在系统里，也没有关系，我可以跟采购联系下，我们再重新激活一下，或重新走下流程，主要是看您这边的需求，我们也希望跟您这多建立合作，包括如果说你们其他同事有这方面需求的话，也可以帮我们做个推荐吧。

好的，邮件和企业微信的申请通知都给您发过去，您麻烦通过一下，谢谢。"
销售-常见场景录音实战,常见场景3：哦，这方面现在不是我负责的，你发邮件给我吧，我转给同事,"一、要点
1)捧客户资深，合作多年拉感情
2)询问哪位同事负责
3)确认系统中联系人情况
4)询问各部门需求
5)成功案例引出多个业务推荐
6)发邮件，添加微信，要推荐

二、话术
你好，Lisa，很久没有联系了，我是事必达的David Xiao。是的，很久没有联系了，想问下不知道你们公司最近有涉及翻译、印刷这方面的需求吗？哦，现在这个不是您负责的是吧？您谦虚了，您在这个公司已经比较资深的了，也已经很多年了，我们打交道也有不少年了。

现在这块业务不是您负责，不知道现在是哪个同事负责呢?能帮我们做一个推荐吗？毕竟我们之前合作的还是很不错的。不是很方便呀？那没关系，因为我们和您这里合作也蛮久了，而且我们除了和您合作，也和众多上海市场上的日资企业都有合作，比如欧姆龙、富士电机、亚马哈、还有三菱重工等都有合作，因为我知道日企基本上是企划或者总务负责的这块是比较多的，基本上归口在这两个部门。我不知道你们这边现在是企划同志负责吗？我看我们系统里有几个联系人。比如说陈桑、刘桑啊，哦，是他负责是吧？那好的，谢谢您。
我就知道跟您沟通的话肯定是没错的，因为您在这行包括在这家公司都已经做了蛮久了。

好的，那稍后我跟他联系，我们现在也推出了对公的企业微信，我能方便加一个吗？因为我们上面会定期推送一些同行或者是我们最近做的比较热门的案例，你也可以做个了解，备份一下，万一今后你有项目有涉及这一块，也可以联系我们吧。那不知道据您所知，麻烦再透露一下你们现在企划部门他们的需求是什么？是翻译多点还是印刷多点呢？

哦，您看到他们平时印刷品还是蛮多的，这也是一个现象，因为相对其他欧美企业来讲，日企在宣传方面，印刷这块还是做的比较多的，可能其他欧美企业现在电子版做的比较多的。原来你们也做电子版的是吧？也是季刊、月刊的排版设计到印刷吗？那我联系您是比较迟了，其实这块一直是我们非常擅长的呀，像比如说三菱，我们经常会帮他做些季刊、月刊从先翻译、排版、到印刷成册，他们自己也会使用，也会给他们的经销商或者是客户之类的,都会发放这些宣传资料。

那我稍后和企划部的同事好好的聊一下，也谢谢您今天的推荐。另外想问下，你邮箱还是之前的这个吗？我给您发一个邮件做个备份，如果今后有同事，尤其是些新同事，我看系统里新同事好像比较多，如果有问起来，麻烦您也可以帮我们做个推荐吧。因为你比较资深，我想他们很可能会经常问到您这里。好的，那我给您发个邮件过去，如果有同事问到的话，可以帮忙转发下，包括微信推起来也是比较方便的，你看可以吧？好的，真的是太感谢您了，如果有机会我们能再与您这边合作，提供服务,也不能说您不负责了，就不跟你联系了吧，还是偶尔联系下我们可以联络一下感情，万一后续我们还需要对接呢？好的，非常感谢与您今天的沟通，那先这样，拜拜。"
销售-常见场景录音实战,常见场景2：近期没有需求，有需要会联系你们的，不用频繁电话,"一、要点
1)寒暄
2)了解需求减少原因
3)成功案例引导业务需求
4)说服客户添加微信的好处
5)了解其他部门需求

二、话术
Amy，你好呀，我是事必达的David，很久没有联系了，你们现在还在居家办公吗？

我们也是现在，因为疫情，目前大环境已经是这样了，你们也要多注意安全。

因为我看我们挺久没有联系了，好像近期找我们这个翻译比较少吗？所以想问问不知道是什么原因或者是我们需要在其他地方有所提高的吗？是近期没有这样的需求呀，嗯理解，因为疫情的原因，大家多多少少都有受到影响，。

我想问下，以前也没有深聊过，不知道你们大概是什么情况或者是什么样的应用背景才会找翻译公司做翻译呢？

哦，是有展会的时候需要准备国外的宣传资料做汉化对吧？哦，确实，怪不得近期找我们比较少了，现在展会停的也蛮多的。不知道你们是否有提前准备转线上呢？因为今年感觉包括最近这几个月展会的推进，肯定也不会很乐观，现在有很多公司，像欧莱雅、3M、巴斯夫、科思创这些传统的化工、机械公司都在做这方面的转型。因为他们会把以前印刷成册的宣传册先做成电子化在微信、公众号上进行发布，包括他们现在会做些大量的宣传视频，无论是已经完全中国本地话的国外视频或者是国内拍摄的宣传视频挂到官网上，这些服务我们都是可以提供的，而且这些公司基本上大部分都是找我们做的，我们和他们合作基本上都已经是十几年了。

不知道这方面你们可能会有吗？好的，你可能是想了解一下视频，那没关系，我可以发一个视频的案例给您看一下，我是否可以加一个您的微信？这样也不用一直给您打你电话之类的，因为我们是对公的企业微信，因为我们定期会发布些成功案例，是关于我们帮客户做的，也可能上面有你的同行，你也可以了解一下我们可以做到什么程度？或者是您的同行可以在做什么？那下次如果你也有这样类似需求的话，那你也可以联系我们，因为这方面我们都是比较擅长的。好的，你是这个手机号码，我给您发过去了，在那个服务通知，您通过一下，是一个对公的企业微信，也不会打扰到您的，这点请放心。

想问下你们其他的部门，比如说法务、市场或者是技术部会有这样的需求吗？之前我们和你们技术部的陈工、张工都有合作，不知道他们现在还负责这块或在职吗？好的，这块情况您不是很了解对吧？那没关系，如果后续您的同事有翻译和印刷一体化服务的需求时，还请帮我们做个介绍。

那麻烦您稍后微信通过下，我把我的联系方式，以及我们最新的成功案例再推送给您，您可以做个了解，若有同事问到您这边，您也可以为他选择提供一家好的供应商。

我们在这个行业做了将近快30年了，信誉和口碑都是不错的，并且性价比也是上海这里最高的，您可以做个备份，若有需求可以与我们联系，今天也不打扰您了，谢谢，再见。"
销售-常见场景录音实战,常见场景1：我们现在翻译的预算减少，基本都自己翻译了,"1)询问翻译预算减少原因
2)自已翻译的稿件类型，针对新闻稿自已翻译和翻译公司翻译优劣势对比
3)询问其他部门是否有需求
4)除了翻译之外，案例引是否有其他业务的需求
5)发送邮件，添加微信，要推荐

你好，微信上听说你们现在预算卡的也比较紧，基本上都是自己翻译的吗？

你们现在大概翻译的是什么类型的稿件呢？

新闻稿呀，新闻稿是蛮难翻译的，因为在我们平时这个翻译过程中字数是不多，但是这次都是对外发表的，一些语言原措词是比较谨慎的，可能需要来回的推敲，我们其他的客户，比如达美、斯道拉恩索、3M、欧莱雅等我们经常会帮他们的公关或者是市场部同事翻译新闻稿的。他们也觉得新闻稿翻译起来不容易，所以会找我们专业翻译公司会进行翻译，我们也会安排不同的译员进行QC审核。那后续他们再润色下，这样他们花费的时间就是比较少了。实际上，你也知道新闻稿的字数都不是很多的，也花费不了多少费用，如果下次再有这样类似的翻译，您可以尝试找我们翻译。

包括你们如果有遇到特殊格式，需要在排版上花费较多的时间，因为排版不一定擅长，我们有专业的排版人员，再加上我们的翻译，那交给你文件基本上是能够符合外企、市场部和公关的要求的，也能让您这边省时省心省力吧，下次不妨可以尝试一下。

另外想问下您这边是否知道或者是哪些部门可能需求量比较大一些吗？我这边可以和他们先联系一下，如果暂时您这边比较少的话，能帮忙介绍一下吗？

好的，谢谢，我记下来，那稍后我与他联系一下，给他发个我们的公司介绍。

另外我们除了笔译以外，我们还有涉及到其他的业务，比如说多媒体译制，像国外发来的Video我们从听写，翻译，配音，配字幕等，可以完全的本地化。包括虽然现在是无纸化办公，但是还会有公司的宣传册或者记录手册的排版、印刷等，这些都是我们的主营业务，也是我们比较擅长的，比如我们为像巴斯夫、科思创、斯派莎克等这些知名的外企都一直有合作翻译、印刷一体化服务。我们目前也是华东地区，规模第一、市场份额最大的一体化服务公司了

如果下次有机会，有这方面业务，您也可以与我联系，谢谢。

好的，那今天就不打扰你了，再见。"
销售-常见场景录音实战,2. 写话术要点：为打电话做准备,不公开
销售-常见场景录音实战,"以下是客户发过来的邮件内容，请根据客户的要求，并结合我们需要向客户介绍的内容，撰写一封回复邮件

客户基本信息如下：
1、老客户公司，2011年开始合作，老联系人推荐新部门联系人
2、客户公司医疗器械行业
3、我们与该公司有长期协议，已有协议价格，并商定月结

客户邮件内容如下：
我们是爱德华临床试验（CA）团队，从行政处获取了贵方公司信息，希望后期在翻译工作上能与贵公司进行合作。
来信是期望了解下列问题及操作流程：

1.如何向贵公司提出翻译需求？
2.翻译单价及什么情况下会有费用上的折扣？
3.如何进行后期翻译费用结算？
4.翻译质量如有问题，怎样处理和沟通？","Hi Blanche,
 
很高兴收到您的邮件，希望有机会为您提供服务。如果方便的话，烦请添加我的微信18621895985，方便我们联系沟通，谢谢啦！

我们公司成立25年了，目前已是上海规模最大，市场份额第一的翻译印刷一体化服务公司，专业为外企提供笔译、交传/同传、设计印刷一体化和多媒体译制服务。
 
我们从2011年开始与贵司合作至今已10余年了，各个部门都有合作。服务内容包括专业资料笔译、年会同传、视频译制等各类服务。我们有为贵司建立专属翻译的团队，根据贵司翻译的内容安排专业对口的译员，同时我们自主研发的ERP系统建有术语库，质量这块您可以放心。
 
除了为爱德华提供长期服务外，飞利浦医疗、强生、BD、丹纳赫、贝朗、雅培、塞比亚、药明康德、拜耳、3M等等，也是由我们提供服务10多年了。
 
针对您的问题，具体回复如下：
 
1、如何向贵公司提出翻译需求
您可以通过邮件将需要翻译的文件发送给我们，我们将根据您具体的资料提供报价及交期。您邮件回复确认，我们就可以安排开始翻译工作
 
2、翻译单价及什么情况下会有费用上的折扣？
我们公司与贵司签有长期协议，已是折扣价。如果项目特别大的情况下，我可以再向公司申请特殊折扣。
我们前段时间刚完成申淇公司的临床试验报告差不多3000+页，而且原稿基本都是不可编辑的扫描文件，我们也已完成交稿，客户反馈也蛮好。如果您此次需要翻译的临床试验报告内容也较多的话，我再尽力申请
 
3、如何进行后期翻译费用结算
项目结束后，我们会提供正式发票，您安排付款就可以了
若项目不是一次性翻译，需要一定周期的话，我们可以月度结算。月底时我们提供费用清单，您确认后，我们开票您再安排付款就可以了
 
4、翻译质量如有问题，怎样处理和沟通？
一般不会出现质量问题，如果有任何问题，您可以随时联系我，我们会立即安排免费的修改服务
 
若有任何问题，您随时与我联系
 
非常感谢！"
销售-多媒体-报价,视频译制，报价时我们需要了解哪些信息？,"1、 收到视频，统计时间，并仔细看一下视频，配字幕或配音是否有难点
2、电话和客户确认需要做哪些？听写、翻译、添加字幕、配音的具体要求
3、针对客户视频配字幕/配音可能会遇到的难点，给客户专业的建议，给客户信心
4、一般视频按工序分开报价，若客户不计较也可以一并报价"
销售-多媒体译制-商机跟进,当客户需要翻译视频的脚本时，我们可以做哪些开发工作？,"1、了解客户脚本来源
2、介绍我们视频译制，听写+翻译+配字幕/配音的优势和案例
3、推荐我们一体化的服务"
销售-多媒体译制-商机跟进,当客户提前通知，周末有加急稿件需要翻译，我们做哪些准备工作？,"1、遇到周末加急的文件，事先与客户和译助沟通好，最好能够问清楚语种，字数和相关内容，紧急程度（何时收到，何时交稿，是否分批出稿），有无特殊性
2、与译助沟通，提前做好译员的准备"
销售-多媒体译制-商机跟进,视频配字幕报价时，我们可以做些什么？,"一般仅仅配底下的字幕最简单和便宜，若有画面中字幕，效果中有文字，会造成价格提升
1、当画面和画外音同时存在时，可以向客户建议画面也译制
2、有时候画面上的文字是画外音未提到的或是提炼的要点，这样可以报价高点"
销售-多媒体译制-商机跟进,视频译制时，需要注意什么？,"1、销售需要先看一下视频，了解视频大概情况，给客户建议，也便于我们操作
2、画面很满的时候，要给建议，我们将字幕配在哪里合适
3、若视频原本的画外音和口型就对不上，要及时和客户提出，是否原视频有问题
4、客户自己的改定脚本需要检查后，再安排配字幕/配音
5、动画效果需要配字幕，需明确效果到什么程度（否则可能无法实现，或代价很大，或客户可以提供原始的工程文件方便我们改字幕）
6、确定字幕的字体和文字大小，若屏幕中间的文字，需明确一般放的位置
7、明确双语字幕还是替换字幕，字幕和字幕背景的效果最好先做个几秒钟的小样请客户先确定方案"
销售-合同跟进,当公司制版部同事工作超负荷，客户的制作文件来不及交，我们该怎么办？,"我们可以分批交，同时请客户提供修改意见，
这样我们制版部同事可以在后面的文件中改掉，这样可以同步进行"
销售-合同下单,什么情况下，我们可以安排试译？安排试译时需注意哪些细节？,"1，了解清楚为什么要试译
2、此次资料的应用背景
3、客户过去消费经验
4、试译500字以内是免费的，若客户提供的试译资料超过500字，请客户节选
5、若客户让我们挑选，技术类资料我们挑选时不能只挑选非技术类内容，避免客户要重新试译。试译前将内容与客户确认（但尽量避免自己都无法理解的最难的部分，以免影响试译的质量，搞不清时，可以找生产部负责质检的老翻译讨论）
6、安排试译时，合同要求要填写清楚，给翻译提供官网或参考资料
7、下单时，提供整个资料，不要只提供需要翻译的那部分，有助于翻译看前后文，了解背景知识"
销售-合同下单,当遇到重要项目、大项目、加急项目时，仅ERP下单不行，销售需要与译助配合，哪些是需要关注的？,"1、重要项目、大项目开始前，有必要的话可以组织译助、译助主管和翻译开会，落实翻译要求，项目重要性，确定技术路线，各个节点的时间和负责人，明确关键节点
2、时间紧急的项目，随时定期与译助沟通，了解首轮、校稿安排及进度情况
3、当项目提交延时，客户已催稿，请译助与翻译联系，务必明确目前已做多少，还剩余多少，明确告知译员要什么时候提交，再给客户回复"
销售-合同下单,当客户有多个文件需要翻译，交稿时间紧急，但客户有1个文件还没有定稿，这时我们该如何处理？,"1、先报价，请客户确认录入合同
2、已录入合同的先做预排工作和句对匹配
3、催客户尽快提供剩余的文件，收到后，上传原合同明细，做漏匹配。这样可以保证词汇语句的前后统一"
