客户触发,我方回复
就拿1个先算好*250个 现在是算多少钱一个字的？ 你先算钱 怎么做再说,意思如果以后要做 也是文字什么也没 都是靠copy的吗 因为我是担心即便我们傻傻的全部文字copy下来了 给到国外做网站的人 他们导补回去 引用：现在是算多少钱一个字的？；回复：和之前翻译文字一样 千字200元 ship的不多 the explora experience 字数多 模块多
那如果把旅程都加上呢,那我也没算耶 这个页面打开太慢了[捂脸]
官网字数的预估有了吗,ship 8个模块 大概是3200元 he explora experience 13个模块 大概是13000元
这张做海报的时候就给过吧 一直有的 或者A5手册里好像有 我找给你 用这张吧,a5是这2张
易拉宝还有打样件,引用：三个易拉宝打样我看了下 一对比感觉 亚美利加号 精度差点 尤其近看的话；回复：在我公司 不是等着那个图重新换下 打一张画面
引用：[文件]MSC亚美利加号易拉宝--26.02.24修改.jpg；可以 左右两边的也注一下是8天7晚航次，只不提“全年”,8天7晚
我们让她们先改，如果能改好就最好 工作太大了，我们改不清楚的,哦 反正你们涉及描述类的 AI痕迹很严重，尤其是牵涉格式类的 就变成断句了。意思更不对了 看下可以不 这是放在一起的
这个文件你收一下，明天和你说怎么调,话说EJ网站同事有什么消息了不？ 要做吗
易拉宝打样好了早点送过来吧,重新打画面了 应该明天到 明天下午你几点空 三点后？ 极限速度下做的 她要赶着 “班车”下班
你开发票吧 数量给我下,加勒比海是50个 MSC神女号——北欧&东地中海 100个 MSC欧罗巴号——中东&西地中海 100个 MSC亚美利加号——加勒比海 50个 引用：你开发票吧；回复：我先去财务登记 等你通知我送货了 要那个仓库收货单原件 才管用
我就是想换掉2个暗的 这张图能不能找一下，然后给我个16：9的，不需要文字的图 hello行吗 这张图之前做促销海报时用过的 拉个尺寸就好,中午我去找原图哪条的 拉应该尺寸快 后来换的这张
这两张图再给我个9宫图的尺寸，谢谢 不要字的,之前给的9宫图尺寸要求是800*800的 也就是1比1的 同事问那这2个9宫图 中文字要吗 要的话 就只能像我截屏那样 中间部分 这块 再放中文字？ 还是说直接文字不要
给我个报价单,加多少 也1500备着？ 合计3000 报价单邮件我发了 要么帮我回复下，谢谢 文件对应上传了
引用：这页你看下，红字写要16比9 但是箭头右侧图是竖版9比16好像；就是红字的16：9 我在一个会上，这些字辛苦再对一下，别错了,我同事核对过了，晚点我回公司自己再对下
别弄错字哈，谢谢，看看多少钱,这页你看下，红字写要16比9 但是箭头右侧图是竖版9比16好像
之前给过源文件的，能帮我把字做上去吗 共享文件夹里有带字的海报，在这个上面调整会不会更容易点？,不可以编辑 他没给文件 只给了JPG 且尺寸不对 重新做 我们来一起做吧 先把尺寸改了？ 你说的文字你来改？ 我给你jpg不好改吧
就是红框标识的图你更新一下上传 文字我自己会改 带文字,我给你是纯图就行是吗 不带文字？ 我看你传的 有的不是我们做的文字，有几张是我们做的文字 不是我们做的，等于你要给下不带文字的图片
有图片尺寸不对的，能不能更新一下，开一个新文件夹在共享里，文件名起：resize for WPP 文字我会调,应该是都不对 和之前给的要求尺寸不一样 我安排重新做 1、哪些图片需要我做的 P2和P3？ 2、文字我会调？ 等你文字来咯 ——我下午几乎在外面
又要了，上面有一点点的翻译帮我做掉吧，200份的印刷大概多少钱？,下午我请假了。明天一早我看下。印这个4p吗
打不开，能给正常可见的？ 可以了谢谢 先不用,好的 63902_00_IN NEED JOURNEYS_FLYER_A4_ENG 昨天问的那个不做是吧
引用：A5 英文版 100份 5800元 A5 简体版 200份 6800元 这2个份数都是之前做过的价格；就这个,那我一会我单独把这个报价单给你
你报价单给我,A5 英文版 100份 5800元 A5 简体版 200份 6800元 这2个份数都是之前做过的价格 这个EJ的 简体和繁体都要印吗
300份看看多少钱,其实差不多 2750元
引用：看看200份和500分分别的报价；还有这个呢 Need journeys flyer 快一点，一起申请,200份 2600 500份 3000 你看下哪个 我合并到之前的那个报价单里面 500份的吗？
引用：[图片]；你能在共享文件夹里改成这样吗，WPP应该还没拿走 resize for WPP的里面,这个晚点行不 我交代下去 她手里好些个打样印刷 今天周五都要发出去的
我今天请假了 浦东浦城路366弄5号803室 Renaiss 13916610981 这个是对的,应该11点30到你那
引用：中文不打了吧 就改了那句话 之前印刷品有；打一下吧 可以了,4P的看下 加了网址好些 不然好像封底太空了点 还改什么吗 不改我也去打了 回头打印店下班了[捂脸]
A5也会打样是吧,A5英文从来没打过 会的 中文不打了吧 就改了那句话 之前印刷品有 引用：这里要么用中文：详情请咨询；回复：就这句？ 加个二维码
引用：[图片]；这个也行 1650有点贵，1200可以吗？,最低得1320耶 我更新个给你吧 引用：最低得1320耶；回复：更新的报价有收到了不? 回复我下，我去安排了？
你要不要再试一个深色?,这个和刚才一样 竖版后都是人物在中间
好的，你给个报价吧 就中英文一起,报价发你了 这个竖版 不好像横版一样 字压到腿上 不然上面太空太空了 这样？
这个会给报价的,可以加中文字幕 放在英文上面 要纯中文的话 就得要下clean版了
引用：[图片]；帮改一下：成都推介会 横竖2个,2026成都推介会 还是 成都推介会 这是没2026的 2个都做了
这里不要直接写3了 其他细则：123,引用：这里不要直接写3了；回复：哪？
不好意思，再改一下,嗯 你其他再看看 现在改快了 就是更新二维码 那这里的 航线 2个字 好几处 都替换咯
我又不是失忆了 字体是你们不看清楚才改了2次,改后的 当时这单叫我出个报价单的 我就下工作量给同事了 还有后面其他作图 现在应收账款挂着有这笔的 辛苦你帮忙申请下呗[抱拳][抱拳]，2个不同尺寸确实是做的，字体那个我知道是我们的。后面改我也没说
这单其实也很水，就是拉拉尺寸 那也很水 知道了 那也很水,你撤之前能搞定不？ [微笑] 引用：这单其实也很水，就是拉拉尺寸；回复：不是先后做了2版尺寸文字 先开始给尺寸不是不对的吗 不是直接变大小的 等比缩放的[捂脸]
3000是什么内容的？,4.9发的报价 4.10回的
有点设计费的，一共17000元,啊 差一个4月10日 确认的3000 1650是视频那个
新的人不负责MSC了，所以你也别客气，做内容先给报价,这是一条引用/回复消息： 除了这个还有个其他的哈
总共7个视频 什么意思,收到了 有工作量给我们小姑娘不[微笑] 有最好 实在没 只能我去协调[微笑] 引用：你那边可以做吗；回复：我意思会给我们申请费用之类的[捂脸]
你们怎么传视频的,你电脑可以登录微信吗 打成压缩包给我 之前你也这样发过我[微笑]
对的报价给我就行,今天确认开始工作的话，预计周三出英中对照翻译稿
"?Angela, 我同事有个视频需要英翻中，然后添加字幕",好滴，我会跟进的 您好呀 视频方便发给我，根据视频我给您具体报价和完成时间 我的邮箱angela@speed-asia.com 可以的 可以呀 好的，我看一下哈 没有问题，给我一下您的邮箱，我给您发报价，邮件回复确认我就可以开始工作了
我帮我出个报价吧 税前七万内的 我这个月可以提申请,OK，我今天拜访客户，明天发你哈
怎么收费的呀 我可能翻译内容为： 1、2个海报（内容差不多，文字量不多） 2、1个10页内的PPT，PPT页面+演讲稿翻译,中译英我们分四档 普通：280元/千字 广告：560元/千字 专业翻译+母语校稿：800元/千字 母语翻译：1200元/千字 以上为含税价 我们长期合作的，所以以上标准报价都可以打8折
您好现在您这边还可以做翻译吗，中翻英,早上好 我还在事必达，可以提供专业翻译的[愉快]
这个不清楚你给个range就行,能开票和不能开票，会影响这个代开百分点的
制作费吧，你问下代开的百分点，确认下能不能 1.5,是要开多少费用呢？他们是否能开票给到我们，几个点的票（专票还是普票） 1.5w？ 他们能开票给我们是哇？可以开6个点的专票么
好，没事儿，那我留言就好。很简单的一个问题就是我想了解一下，咱们就是你不是你们不是也在我们的供应商库里面，对吧？然后跟我们签的那个供应商的合同里面，你们的服务范围有包含视频后期的这种技术特效这一块。因为我们现在不是要做这个事儿，找的是另外的人做的，对吧？然后你们做不了，我们找另外的人做，但是他这个另外的人不在我们供应商库上，我们得额外给他们去付款的时候，我们没有办法直接付。所以想问一下，你这边是不是能够直接帮我们垫付给外部的非我们库里的这个供应商，然后我们就相当于你报那个的时候，就报一个总的金额给我们。这样子。 如果你这边。合同没有覆盖视频后期特效的服务范围的话，那我们从合规的角度就没有办法请你们垫付了，我们还得。我们可以另外找一家有这个服务范围的供应商，去帮我们走一下这个店铺的这个事儿。好了，我就想问你这个。,我们应该是在翻译服务的范围呢 我们开票是可以开翻译费，制作费，服务费 我们代开会有额外的费用，能不能代开我也要申请领导
听得到，我跟你这么说清楚。其实我并不care他这个原文件到底是什么。我只care就是我在你这儿要的这个东西，最终能够以我当时发给你的说买的要求的那个形式，什么MP4，什么多少resolution，就是提交上去这个就可以了。在这个基础上，因为我们现在不是要去搞技术处理这个问题，在这个基础上，你觉得是搞技术处理的时候。给他们所谓的原工程文件，那你们加好字幕的，也方便修改的比较好。然后弄回来了以后，你们还能再方便修改。但是你能够最终给我导出组委会要的那个东西。也行。你直接导出组委会要的那个东西，让他修改。 直接导出组委会要的那个东西，让他去做技术调整，然后你在这个后期上再加title什么的，反正最后。提交出来的给组委会的是那个。MP4就可以了。所以我我我这么说明白了吗？所以其实无所谓都行。我的理解一般大家都是在原文件上welcome。然后你不是我这次最主要的负责的这一方，因为技术你们这边做不了，我只能说是跟别人加一下对吧？那么最后哪怕是做完技术了，我们还涉及这个调整，要不还是你这边是最后的最终出口，所以你只需要保证你作为最终出口可以给我组委会要的那个东西就行了。 你就不要把这个事儿搞得这么复杂。就是你觉得就是你们自己以一个最终负责导出文件的方来看的话，你们觉得？给他们什么文件就是什么文件，反正现在我们确认了要版本二。要一个。最终是要一个rod，再要一个有subtitle的。所以你让别人搞,我提供clean version的版本2给他们去处理 通过网盘分享的文件：SC GTH KOR--字幕版（版本2）clean版.mp4 链接: https://pan.baidu.com/s/1aiLvcKT9GFq3kEPpDHqu0A?pwd=kcxc 提取码: kcxc --来自百度网盘超级会员v6的分享 他们处理完再还给我们，我们把加好字幕的给他们 他们处理完再还给我们，我们把加好字幕的提交
糟了，我突然想到一个问题，就是你看一下，你现在check一下我刚开始发给你的提交的那个东西。他不是说要一个role的video，然后再要一个有subtitle的video，然后再要一个subtitle文件，是不是这样子的？如果是这样子的话，我们的raw video和subtitle的video全部都得是。就是技术处理过的video的大的源文件是吧？就是满足他什么MP4，什么多少乘以多少那个东西，对吧？你们现在就用这个来做就行，对吧？然后等于说如果我找另外的人做这个技术调整的话，我得用这个raw的文件来做。然后你重新把字幕放回去，我理解的对吗？,你的理解基本上是对的，但是因为我给到你的是工程文件，什么是工程文件？就是我们把有字幕的跟他我们剪辑过的那个文件都放在里面。如果你们找到另外的供应商，技术是懂的话，他应该是知道的。他那个是我们premier做的一个文件。那他去处理完之后的话。直接在那个文件里面，如果他是处理的话，那字母就不用动，然后导出来就可以了。但我现在不确定你要的原文件到底是我们拼凑好的那个clean版的MP4的文件，还是说我的工程文件。 因为我刚网百度网盘给你的是我们的工程文件，就是直接可以在那个文件里边再去做。如果他们的技术是用朋友做的，我不知道他是用什么技术做的那他可以去做，还是说他要我一个。我现在第二版拼凑好的一个坑版模型的MP4文件就可以了。 我现在让同事也导出个版本2的Clean视频来，我会和我们的制作文件一起重新上传百度网盘
引用：通过网盘分享的文件：260310-006（渣打银行）.zip 链接: https://pan.baidu.com/s/1KQWExqosVTjJq8O5gknbgg?pwd=6pj5 提取码: 6pj5 --来自百度网盘超级会员v6的分享；你这玩意好像有点大我打不开。你能直接给我第二版的源文件吗？以免搞混了 这个衣领塞回西装里，加上领带的后期技术，你们能解决吗？,"引用：这个衣领塞回西装里，加上领带的后期技术，你们能解决吗？；回复：这个我们不能解决 这是一条引用/回复消息： ""V： 你这玩意好像有点大我打不开。你能直接给我第二版的源文件吗？以免搞混了"" ------ 第二版是指换过顺序的那版对吧 源文件是工程文件，还是需要clean的那个视频"
引用：[视频]；这没打的是24年的？,引用：这没打的是24年的？；回复：是滴
是吗？你发我看看？ 我看25年的打了,23年打了
另外之前有一本手册3000块的费用还没结，反馈希望先单独结这笔费用，近期是否能先开个发票哇？,好呀 再和制作人员确认下软件问题 发票可以开哈 周一发出
你们计算字符是用日文吗？ 如果是计算日文参考日版就好了 这些都是旧版本的，目前总部想了解报价先,是的，主要看用哪个版本去做翻译。如果有英文版也可以翻译的，反正对我来说英译中和日译中都OK的。 但是我就是不确定你现在英文和日文哪个是旧版的，我应该对哪个文件哪个是新版的。
回复了哈 另外反馈页面有细微差别 麻烦帮我们先校对下,引用：回复了哈 另外反馈页面有细微差别 麻烦帮我们先校对下；回复：好呀，是指和之前几本有不一样对吧
报价收到啦 翻译可以同步开始哈,好呀，麻烦邮件回复确认下哦~~
翻译和制作1-10章节的哦 最后中国版只需要1-10,哦哦，那更新下报价哦，稍等
xd格式也看看能编辑吗,嗯嗯，同步请制作同事在看哈
我昨天刚收到 正在下载 我开完会看下然后发你哦 需要给我个预期时间和费用预估 我反馈总部 发你了哈,下载成功，稍等发送预期时间和费用哈
我同事去拿快递发现我们一堆人都有哈,好像就你 Amy 纪 钱宙 都是本子和便签~~
=。-你怎么给寄了本子 我都不知道,对哦，周初寄的，有个本子和便签 忘记说了
我记得是报价过 但是没翻 搞不懂他们,对对 1月10日 报价过
你报价发给我和吴勇，让他确认我今天还没上班。,报价发了哦， CC给吴总了
就是把附件的文件按照以前CBC格式进行整理，只对其中1个文件辅助的第四章进行翻译,哦哦，所以其实所有这些都只是整理， 就一个第4章节整理+翻译对哇
明天要，麻烦报价 给钱宙,文件有很多批注， 要翻译哇 报价发邮件了，777元 尽快回复哈
又发了2个要翻译的 记得保价,早上2个吗，前面报价了哦 收到邮件了，安排了哦
这个事情有的搞了 您先好好休息,好呀，那等节后回来报价呗，正好我也联系下供应商，看看我们价格是不是合适[偷笑]
你就上调好了 我看一下 等一下吧 我再细化下,我今天在公司，台风航班取消了，改了明天飞
价格多少？我在外面还没上去看邮件。,618 先安排了哦
最晚周3号做完 17000,翻译11772 排版2550 共14322 有6万字的样子，周三感觉有点吃不准，周四可以哇 你看报多少哦 可以的话我明天就安排翻译加班开始做了?? 邮件报价要周一发了
你邮件发出来吧，好吧。,OK 让助理发 我在外面哦 稍等 报价刚发哦
我的意思是 Shl21重复54000 但是之前报价是51000,我没理解呢 方便电话不拉 25年7月 SHL21 50699字 14000元 24年11月 SHL21 93022 20656元 我找到了，21号线翻译了2次， 一共143721字，34656元 这次有23W多字 新版本的就少了40个字， 报价就不调整了吧
我看了之前21号线才翻了2W6 这次是总的字数多吗,是的，我刚看21号线只做了一部分的章节
27号能否中午前完成，这样正好BGL周一上班了马上可以给他们 优先的那几章 来得及么 我问下他们,Word可以的 是说优先级1的哦 可以的话 我马上安排
我催他们回邮件 顺序先按这个,好的， 时间我会催尽快的 我按这个顺序，邮件重新发下 中间主要还有个五一假期 邮件发了哦 前2天，7个文件去掉3个文件的这单，全费用3000调整到1713哦
我如果丢公司AI翻译个初稿。你们校对的话 价格能便宜多少 先等下,没意思的，这样反而工作量大， 他们想要几个钱做掉，我直接问下老板呗 要不问问他们4W行哇~~ 你看呢 ok，听你安排
有重复的多少 你写一下 都写一下吧,重复：54096中文
也要整理CBC excel 参考SHL21,翻译：233231*0.196=45713 CBC excel： 385页*30=11550 一共：57263 申请到：45000元
这套 你logo也用的不对的哦,嗯嗯，安排设计换这个，有白圈的~~
说接待台的字体也不对,嗯嗯，先做了个样子出来， 这个我来调就好
但是他们还没发通知诶 急死人了,嗯嗯，我们就standby了
质量在线的哦 这个在CMEF前面囧 这个在CMEF前面哦 不能掉链子,虽然我没看到实物 但是奖牌我们做的多 没啥问题滴 小东西 我们CMEF后续怎么走流程呢 我要出盖章报价单哇
那你玻璃的也帮我设计一下 我给他们一起看看 玻璃的多钱？,引用：[图片]；回复：这个便宜，350
大概就是A4横过来这种效果,展台字体都改好了哦，刚发出了
引用：我应该850可以搞定开模了；好 引用：亲，这个规格是：21*27cm~~；大小我已经没有概念了 差不多,看照片和手的比例应该是的
他现在看出来这两条,引用：[图片]；回复：亲，这个规格是：21*27cm~~ 我应该850可以搞定开模了 文字信息可以发我下，出个效果图
那个价格看了哇,还没哦，还在联系厂里，稍等我下
怎么又涨了50块 昨天不是说1800吗 我记得,哦哦 就让同事加了1000 没事 回复下1800就好
"Shenzhen Mindray Bio-Medical Electronics Co., Ltd. 好的 就是这个 那你要发个邮件吗 我确认下",嗯嗯 稍等更新个报价邮件 邮件发了哦 是助理发滴 查收回复下哈
你说那个还要哇 30th anniversary,不要了哇 有 三十年了 我在想 南德的公司名要不要居中
以后还多嘴的时候还是得多这一句 [旺柴],嗯嗯 一般不会偷懒的 效果图
我就觉得奇怪 但是我以为是你懒得再画上去了,这个效果需要增加3天 费用增加1000，一共1800
来张完整的看一下,还好你和我说了 不然就白板了
我也是觉得不好刻字 可能要变这句了,好呀，变，没关系， 感觉还是木头的适合点，感觉
这种可以做哇 左边这个,这种瘦长条的，我们字多，感觉不太适合呢 2个公司名就比较长
直接寄给我同事吧 在深圳 27号,嗯嗯，直接寄到深圳吧 那我们最迟周四要定好文件，安排制作了哈 8月14日 那个CMEF，我今天出盖章报价单好哇
我老板说 合作不好,这个牌子是几号要用呀，我盘下时间
引用：[图片]；你就先按照这个费用估计吧,物料+餐饮+场馆费用都含进去了， 报价做13.85， 然后有2K的余量，让采购还价。 做到13.65W这样含6%税 未税12.88W
那快递费会不会超级高,不会滴，发到上海办公室这边也是要物流过去滴，性质一样~~ 他估计也是外地发到上海的，350物流
个么寄你们公司哦 我想要寄你们工厂呢 那我的物料我也寄给你好哇 你帮我一起带过去,可以滴 工厂还是公司，让我想想哦，不着急[偷笑]
那好像还是他们那里便宜 他笔1.2一支 应该,嗯嗯，估计是良多 你看呗，如果从那边走，开票给我，我走账加个服务费就行 印刷的我也算一下哈
小牌牌到什么地方啦,笔，150支，340元 2.27/支 袋子：150个，1320元 8.8/个
嗯嗯 先给我报价看看哈 白色上面印深蓝色的 深蓝色上面印白色的 这你知道的吧,嗯嗯，知道滴 引用：嗯嗯 先给我报价看看哈；回复：好滴
两个分别啥公司啊 看不清楚~,"引用：[报价单-15W-Yang.pdf]；回复：上海阳生文化传播有限公司 这是一条引用/回复消息： ""何珺： [工程报价-15.18.png]"" ------ 成都斑娱文化传媒有限公司"
慢叫我们采购想 你传都没传 我比都没比 怎么就确认了 侬懂哇,2个齐了哈
那你三方先来 我直接给采购 采购批了 我再这么回你 来得及哇,一般采购需要几天呀，我今天就出另2个
邮件我回你了 你看行不行 我现在没法回你确认的吖 [旺柴],好像不太行呢 这样写可以哇： 确定贵司执行此次CMEF展台搭建工作，请按需执行细节工作，我先递交采购，进行三方比价审核流程。
我最近真的忙死了 [旺柴],嗯嗯，我先弄三方的 你抽空邮件回复确认下金额，然后写下：采购订单，流程走完后发出。
和他说下 周三前要到的 周三我同事也不在办公室 周四一早就要用了 你弄 你弄 可以了 给我三方,小事情 能搞总归尽量搞搞 CMEF我就等你这边确认了哦， 确认后有好多事情要安排
最好是蓝色的 但是他皮筋够哇 他看上去很短 你造不造我在说什么 我们是一个长方形的盒子,不知道呀，淘宝上找的，看着弹性还可以 可以拉伸到50cm周长，短边应该够了哇
就是我的意思是 你可不可以帮我们买橡皮筋的 否则他们搞不定的 我和你说 我深圳的同事 一开始连小牌牌都不想收,额，要不花花别给她们了，哈哈
最好是那种橡皮筋的 可以直接绑上去的 你造不造我在说什么 我晓得额,这不是皮筋的，是拉花以后，有2个飘带 飘带再打个结 就是那种婚车上用的，哈哈
大概啥时候收到啊 我今天要把小牌牌寄走的 怎么讲,本来想收到可以的话给你用滴，因为是样品，但是那边的同事样品需要寄过去，所以我不能留了
好看吗 你觉得 哪里上下左右要调吗 酱~？,标题可以上去点，中间稍有点挤了 其他都蛮好滴
你要邦成蝴蝶结给我 我自己搞不定的 这个先放放,等这个到了我看下哈， 店里问了都没有丝带备货 CMEF盖章报价单发邮件了哦 我这边是不是还要出2个盖章的报价单呢
有的话今天闪送给我 到付好了 就是那个金色的盒子哦,是这样的，这边正在等1个印上TUVlogo的彩带样品， 蓝色的，我收到后看看，是不是适合我们这个盒子哦 适合就把这个送过来
帮我做张这样的图 9点半左右可以可以我妈 9点半左右可以可以我吗？,好的，安排做一下，尽快发你哈
引用：[图片]；按着改一下,引用：[会议室背景图.ai]；回复：打开是蓝色底图，安排把文字加上哈
引用：这样呗，这几份中文的，先indd文件发我；这啥 放血的,嗯嗯，高精出血文件 就是可以直接印刷的文件
你要搞三个报价给我哦。。。,哦哦，我去整另外2个
在你报价单上回吗 回了哦~,嗯嗯，谢谢啦，这样我内部流程就ok了 收到啦~~流程需要我做什么，随时告诉我哈
八十页应该图片也不少，那一般报告发给你们，多久可以翻译好？ 好的，了解,7个工作日
一大概八十页左右，字数不太确定，能大概估个费用吗？,感觉要9000-1万左右吧 有点字的 你也知道中国的报告字数不多 有点字的 你也知道中国的报告字数不少
你好?? David 想跟你了解一下翻译一份ESG报告的费用,看字数的哦 客户篇幅真不一样
你好！David 能大概给个报价吗？ 去掉图片和封面大概80页左右,不是这个画面哦 这个您截屏我看下呗
嗯嗯，好的，了解。8500，含税吗？,对的 6个点 这个大概什么时候要做哈
你好，应该是电脑版本不同，我这边和你显示不一样,按照这个3.6万字大概折扣8500 不算任何图片上的文字哈
我跟排版确认一下 一段中文，一段英文吧 引用：方便你们后期核对 排版的人也好知道哪段对哪段；是的，排版也是这么认为,报价邮件回复我哈 谢谢
好的，你再等等 没有的话跟我说 都收到了吧,我交稿什么形式 中英对照？ 我印象中 你们还要去排成英文版的是吗 引用：中英对照？；回复：那我就按照这个格式给你哈 一段中文 一段英文 方便你们后期核对 排版的人也好知道哪段对哪段
为啥你的电话老打不通啊 我这边好了 怎么发给你？,market2@speed-asia.com 我的邮箱 肖美鹏 David 销售部 上海嘉赛信息科技发展有限公司(事必达) 021 5489 6060-183 13524025465 www.speed-asia.com market2@speed-asia.com 中国上海徐汇区肇嘉浜路1065号飞雕国际大厦1409室
到时候跟你询价啊，价格优惠点 他家后面都会有的哈,看来这个周期也是蛮久的 主要是和客户方来回确认次数多是吧 引用：到时候跟你询价啊，价格优惠点；回复：嗯 我尽力 每次报价我其实是低于我们标准价 再折扣的
你价格优惠点，我好去申请,那里面图片文字之前都要翻译的 最多我图片不算你的[捂脸] 但愿图片文字不会很多 3.5万字 原价9800 我可以做到7350 含税价
没有，他价格高了，客户给的预算不够,哦 那上次最终做这一本的排版 我问下大概多少哈？
我刚刚又问过了，这一点没有关系,[OK] 你现在排版是找上次推荐的那个 小鱼做的不？
我们已经给纽威开票了，看一下客户这周能不能付款吧，我们财务的意思是等客户款到了，你们再开票过来会稳妥一些。 因为我们跟客户确认也要有个时间差，还请理解[抱拳],好的 我只是担心到时候你们财务一定要开在这个月 算今年的预算什么的 恰巧我们关账什么的 开不出 这样就麻烦了 只要没这点就OK
翻译的报价你这边怎么看字数的？ 我截给你看一下 最好今天可以发给你 这样你可以尽早安排 我先好去做内部审批 我找不到 找不到字符,这个不准 因为不含图片 这是看英文的 中文是看 中文字符数 里面好像有些图片的 字数要加不少的
嗯 好的 这种的也还行 这个样子的能做50个吗 但这个就得加内袋了 价格呢,这种也是100个起哦， 里面搭配下内袋 Logo的样子，我们可以做小一点~~
亲爱的 你估算下运费加合同里一起报价 采购要求一整单 要不运费我们也没法报销,哦哦，那我估计下哦。 100个是都送到北京办公室哇
合同你发给谁了? 我没有收到呀,Han.Wang@tuvsud.com 邮箱对哇
插画一样选一个就行，一共3个 广志的笑脸要露齿坏笑那种 能get到我的意思吗 这个90%OK的， 参照不练了那个包的插画，加几个圈圈行吗 如果没更新 得先更新一下才能走采购流程,更新过的哦，每月都有PO滴
首先说下字体：中文统一用这种 英文要第二个正面打坐的。 3个插画的风格要统一的，所以歇会吧和找你爸都要改 引用：[图片]；歇会吧用这种线条勾勒一张嘴上面放拉索 我给大概画一下 或者只画一个嘴也行 打个×也行 如果拉索有点难 广志这个，留半身，改成笑脸,插画是选1种印哦， 想着变换下风格可以挑一下嘛
对了你出个合同，甲方写：南德认证检测（中国）有限公司广州分公司。联系人信息一会给你~ 联系人郭敏妮，电话020 3815 3249 上海嘉赛信息科技发展有限公司 这是你们公司名吧,嗯嗯，好嘞 上海嘉赛科技有限公司 合同发邮件了哈
下周得出内袋插画设计了，清明节后出demo，寄到北京办公室~~,是滴，安排设计出稿了
你跟我们上海哪个同事联系多啊 daisy吗？还是della,2位都有的，差不多
我给你找一个 我刚才看见了,或者把美芽的叉叉换成安心， 表达是希望安静的意思，也不会太直白
歇会吧： be quite，找爸爸： go find your dad 你专业的 你看怎么翻译 引用：数量太少啦，我去确认下，能不能开3个板子印哦；好,看下修改效果哈，3个板子可以的 绿色是模拟了下哈，参考看看
你看下这个 广智就留一个脑袋 表情做成[坏笑] 歇会吧用美伢 嘴巴上打个x 这三个插画我都要 leave me alone要40，另外两个各30 然后都改成英文吧 中文字体也不是我想要的,数量太少啦，我去确认下，能不能开3个板子印哦
广智的脸改成这样的 歇会吧我再找下 还是不满意 要女性的,不过要3选1哦， 包包上只能印1个哈
爱丽丝，我想问一下，你跟我们上海同事那边的合作流程是PO下来以后是先付款再交货，还是说等项目都完了，货交完了以后验收，我这边验收完了然后再付款呢？你们是什么流程？因为我们跟你是不是第一次合作？,我们是长期合作的 交货后30天内付款就好
哦明白了 那就创口贴吧,嗯嗯 3cm小小的 其实还行
"Hello, 爱丽丝，我问一下，我们都喜欢第一个蓝色底那个，但是现在那个底的那个做的有点像那个创口贴的那个上面我的问题是能不能直接把我们那个字就变成蓝色的，印在上面。你能明白我意思吗？就是没有那底色，现在每个都像贴了创口贴。能做吗？",不太行哦 因为有网格 我们U有2个点 会掉的
等下哈 5分钟打给你,4种效果哦
我看了 挺不错的 我倾向你们 等一等采购那边的意见 还要比价,嗯嗯， 那个报价我只是初步的哦，好多细节还不确定
"hello Alice, 你们可以排版邀请函吗？ 主KV出来以后，会调整成不同的尺寸配合制作邀请函啊，酒店指引牌之类的。我给你看下西安的 这个是邀请函，我给你文字内容，你用KV做模板放上文字 这个是放在酒店的电子指引牌。","引用：hello Alice, 你们可以排版邀请函吗？；回复：可以的哦，主KV定稿后的，延展系列设计，我们都会做的哈"
您就按照我之前发的那个schdule进行就可以~~~ 下周出正式版，调整一下定版。下下周排邀请函了 然后就51假期了,引用：你是我大王-TUV 我们把需求理一下 到时候更新下报价单 你什么时候方便 我电话你说下仪式的事；回复：今天会排满了
爱丽丝，没关系的，你就先用你手上现有的这个浪的素材，把船的位置大概批一下，给我个70%的一个draft的就行。我们后期的那个浪就可以再改成这种叫什么小船走出这种纹路，这种更更细致的这种明白我们意思吗？我们主要是给老板看一下，你看大概布局就这样，这个呈现效果就是这个样子。那个浪子最后再变。变化的更好，那不就这样就更好吗？ 活动主题我给你一下，你一起写上，稍等啊~ TüV南德意志集团大连办公室乔迁仪式 TüV SüD Dalian Office Relocation Ceremony 我们把需求理一下 到时候更新下报价单 你什么时候方便 我电话你说下仪式的事,嗯嗯 效果图在请同事抓紧改了哈
船搞得明显点 位置放在“浪”这个字上比较好 现在船太靠角落里 可以参考我之前给你发的ppt上那个浪字,中午有点来不及哦，或者您把这张图给我，我们pp看，因为这个浪花的元素是找的素材，如果要目前这个笔触，需要一点点手绘出来的，时间比较久的 引用：郝雨-南德 [图片]；回复：
KV定了第二个，有一处调整，下面中英的主题 字体大一些看看 现在有点小,邀请函节前要发走嘛，我们优先做哦。 类似这样，有没有其他的文字素材要加上呀
引用：[图片]；不要实体船 做小了小气 做大了成本太高 就要帆就行 在屏幕旁边升起来 然后帆上写着 乘风破浪或什么 这个再定 会议邀请发了 已经填了一些些需求 其他的开会细说,引用：就要帆就行 在屏幕旁边升起来 然后帆上写着 乘风破浪或什么 这个再定；回复：好的，我来想想怎么弄
好 那我一会发会议邀请,好呀，10点~~ 这个升帆可以搭配转舵
还有个事，下周二10-11点 我们通过电话 对一下需求，你给出报价。 郝老板觉得还是电话说一下清楚，包括酒店这边的情况啊什么的 你看时间OK吗,时间OK的， 其实我是希望可以尽早沟通下酒店的情况哦
